1;-121.6205524566169,36.20596261271003,0 -121.6210350871488,36.20565040095134,0 -121.6214725585385,36.20560574263542,0 -121.6219694897594,36.20594386709391,0 -121.6224452996098,36.2058830498709,0 -121.6228999302759,36.20552089870316,0 -121.6232932926709,36.20534743280854,0 -121.6242209692222,36.20541466528447,0 -121.6252270398878,36.20545165028101,0 -121.625900732176,36.20564533603932,0 -121.6263799373634,36.20572554141742,0
1;-121.6224715511963,36.1980775300923,0 -121.6235054476024,36.1983208634934,0 -121.6238891065932,36.1991114079989,0 -121.6239913383534,36.20004715462359,0 -121.6238147779042,36.2003848138618,0 -121.6246128294345,36.20090194017277,0 -121.6253521307154,36.20118260828831,0 -121.6256230019029,36.20232568801534,0 -121.6250430557363,36.20294494650229,0 -121.6251142901626,36.20399583688752,0 -121.6256242006592,36.20481606011771,0 -121.6263767165429,36.20572884762761,0
3;-121.6263862728435,36.20572458922756,0 -121.6277093049289,36.20624948976209,0 -121.6286402713363,36.20685392760311,0 -121.6299369284928,36.20771635664522,0 -121.6313290904572,36.20853800732672,0 -121.632190832345,36.20906945751932,0 -121.6323903406356,36.20953084416038,0 -121.6327399521982,36.20980103326613,0 -121.6334061125719,36.20957473582571,0 -121.6339099711726,36.20965624301777,0
1;-121.6392856483696,36.19189810154678,0 -121.6397261124796,36.19258114258575,0 -121.6394227621047,36.19336116367847,0 -121.6386019211172,36.19429430731928,0 -121.638598671465,36.19532809191136,0 -121.6381244526861,36.19646246127201,0 -121.6376672280126,36.19768465938443,0 -121.6376702161965,36.19830722960814,0 -121.6386664193014,36.19870896921639,0 -121.6389681288812,36.19943657911523,0 -121.6385356503233,36.20003031623208,0 -121.6384403114452,36.20073527304618,0
1;-121.6561586044778,36.20230605968506,0 -121.6555094263747,36.20191423956047,0 -121.6541801262225,36.2018255834581,0 -121.6529457136486,36.2014190055725,0 -121.6514601782637,36.20070666141548,0 -121.6504515782906,36.2000237687548,0 -121.6488826223038,36.19951386843042,0 -121.647515247886,36.19972903246405,0
2;-121.6474896833392,36.19974942395459,0 -121.6463886693783,36.19929957199116,0 -121.6446206953021,36.19943231129124,0 -121.6429588171532,36.19938586702443,0 -121.641951913166,36.19970441704574,0 -121.640929010639,36.20001746022192,0 -121.640569551601,36.20044973477262,0 -121.6404254570879,36.20085431628181,0 -121.6400083751975,36.20101343764304,0 -121.6396627527626,36.2007578473721,0 -121.6391044149333,36.20069304203937,0 -121.6384323240023,36.20071212955747,0
3;-121.6384236678885,36.20074864689055,0 -121.6374538902166,36.2009183327842,0 -121.6370702517733,36.20158141678248,0 -121.6364912897735,36.20210274313119,0 -121.6360551847148,36.20256230396425,0 -121.6365363439563,36.20330081627689,0 -121.6380851460732,36.2040326855635,0 -121.6392777327289,36.20475655448364,0 -121.6390218688252,36.206113934418,0 -121.6394760209094,36.20727157675607,0 -121.6394492986522,36.20859929746415,0 -121.638893245647,36.20941496141453,0 -121.6385794873145,36.20957061754733,0 -121.6381530107749,36.20912563686733,0 -121.6377809283478,36.20894436027884,0 -121.6375222960269,36.20908210213766,0
4;-121.6375003453836,36.20911890760658,0 -121.6372220135163,36.20927128052112,0 -121.6368685779267,36.20979036304846,0 -121.636563279545,36.20992114487433,0 -121.6361950576786,36.20978625581333,0 -121.636046580713,36.20955589376911,0 -121.6358251137813,36.20935722455352,0 -121.6353898560019,36.20959035230165,0 -121.6350518798326,36.20982520950628,0 -121.6347254968972,36.20976958125014,0 -121.6343825632729,36.20954236897879,0 -121.6340254458504,36.20946919692175,0 -121.6338757348992,36.20965358649683,0
8;-121.6338731969479,36.20966126608055,0 -121.6342471395622,36.21014639977079,0 -121.6348594901232,36.21047030099747,0 -121.6355227787801,36.21075919200799,0 -121.6362390309029,36.2110567676617,0 -121.6367995661758,36.21143642733082,0 -121.6372002065278,36.21206502780728,0 -121.6378522165421,36.2124979348031,0 -121.6387865150147,36.21257902850846,0 -121.6395035532915,36.21251074923829,0 -121.6395496088803,36.2129958926684,0 -121.6394220461919,36.21357794886183,0 -121.6397971027654,36.21394282783696,0 -121.6405049145623,36.21409234772477,0 -121.6408840923783,36.21452745840069,0 -121.6409657421052,36.21467637974698,0
9;-121.6409619843914,36.21468367794904,0 -121.6414146864654,36.21526990312482,0 -121.6415084078259,36.21565382563397,0 -121.6419165323164,36.21612779905958,0 -121.6423978631487,36.21648435152977,0 -121.6423146361412,36.21681777240989,0 -121.6431545902204,36.21709763385666,0 -121.6441963931873,36.21686165276494,0 -121.6449758835981,36.21708172141275,0 -121.6451211506578,36.21786696670504,0 -121.6456111614725,36.21830022793653,0 -121.6465886958113,36.21838108553957,0 -121.6471789399527,36.21823868333119,0 -121.6478207485841,36.21852688688011,0
10;-121.6477628513055,36.21853727849011,0 -121.6487221198881,36.2187120476791,0 -121.6497925983567,36.2193043474042,0 -121.6503882142905,36.22029319630216,0 -121.65097582958,36.22088479804565,0 -121.6522015805925,36.22116688210447,0 -121.6533101404505,36.2216330716755,0 -121.6537287047827,36.22229497273506,0 -121.6549892079089,36.22250870952193,0
11;-121.6549860677964,36.22253378737668,0 -121.6562699731005,36.22261189252632,0 -121.6569657348184,36.22289974664051,0 -121.657146314602,36.22365408603201,0 -121.6574276810263,36.22416528727943,0 -121.6579965218674,36.22443561781918,0 -121.65801204367,36.22509925476592,0 -121.6586013295883,36.22550412425637,0 -121.6594241762615,36.22518748162253,0 -121.6601187041573,36.2248242431178,0 -121.6607228258897,36.22500805108685,0 -121.6607693056947,36.2257126959312,0 -121.6605880031852,36.22623869107331,0 -121.6608783172957,36.22671237050763,0
1;-121.6634663402551,36.22543168740298,0 -121.6632073972384,36.22550828208476,0 -121.662811074156,36.22574145205203,0 -121.6623803923653,36.22622809121636,0 -121.6618633020134,36.22655793180783,0 -121.6613065268915,36.22663812735077,0 -121.6608968014523,36.2267306436332,0
